Plot,Classification
355,2007 thinned
356,2007 thinned
357,2007 thinned
358,2007 thinned
359,2007 thinned
360,2007 thinned
361,2007 thinned
362,2007 thinned
363,2007 thinned
364,2007 thinned
365,2007 thinned
366,2007 thinned
367,2007 thinned
368,2007 thinned
369,2007 thinned
370,2007 thinned
371,2007 thinned
372,2007 thinned
373,2007 thinned
374,2007 thinned
375,2007 thinned
376,ECN
377,ECN
378,ECN
379,ECN
380,ECN
381,ECN
382,ECN
383,ECN
384,ECN
385,ECN
386,ECN
387,ECN
388,ECN
389,ECN
390,ECN
391,ECN
392,ECN
393,ECN
394,ECN
395,ECN
396,ECN
397,ECN
398,ECN
399,ECN
400,ECN
401,ECN
402,ECN
403,ECN
404,ECN
405,ECN
406,ECN
407,ECN
408,ECN
409,ECN
410,ECN
411,ECN
412,ECN
413,ECN
414,ECN
415,ECN
416,ECN
417,2007 thinned
418,2007 thinned
419,2007 thinned
420,2007 thinned
421,2007 thinned
422,2007 thinned
423,2007 thinned
424,ECN
425,ECN
426,ECN
427,ECN
428,ECN
429,ECN
430,ECN
431,ECN
432,ECN
433,ECN
434,ECN
435,ECN
