"DELTA-T LOGGER"
"TW_EWANP"
"31/07 08:16:56"
"31/07 12:39:07"
"TIMED"
"Channel number   ",22," ",         6," ",         7," ",        61," ",         2," ",         3," ",         4," ",         5," ",         9," ",        10," ",        11," ",        12," ",        13," ",        14," ",        15," ",        17," ",        18," ",        20," ",        26," ",        27," ",        28," ",        29," ",        30
"Sensor code      ",22," ","     BFP"," ","     BFP"," ","     RG1"," ","     HPt"," ","     HPh"," ","     CMP"," ","     CMP"," ","     HPt"," ","     HPh"," ","     HPt"," ","     HPh"," ","     VLT"," ","     VLT"," ","     VLT"," ","     VLT"," ","     A3A"," ","     WV2"," ","     VLT"," ","     VLT"," ","     VLT"," ","     VLT"," ","     PRT"
"Label            ",22," ","BF3Total"," "," BF3Diff"," ","  Chan61"," ","   Ta27m"," ","   RH27m"," ","Rg Incid"," "," Rg Refl"," ","   Ta19m"," ","   RH19m"," ","    Ta8m"," ","    RH8m"," ","  Chan13"," ","  Chan14"," ","  Chan15"," ","  Chan17"," ","  Chan18"," ","  Chan20"," "," UpperSW"," ","   LowSW"," "," UpperLW"," ","   LowLW"," ","  Chan30"
"Unit             ",22," ","    µmol"," ","    µmol"," ","      mm"," ","   deg C"," ","       %"," ","   W.m-2"," ","   W.m-2"," ","   deg C"," ","       %"," ","   deg C"," ","       %"," ","      mV"," ","      mV"," ","      mV"," ","      mV"," ","   m.s-1"," ","     deg"," ","      mV"," ","      mV"," ","      mV"," ","      mV"," ","   deg C"
"31/07 09:08:20   ", 2," ",    1290.2," ",    248.88
"31/07 09:08:30   ", 2," ",    1290.9," ",    248.88
"31/07 09:08:40   ", 2," ",    1280.0," ",    247.60
"31/07 09:08:50   ", 2," ",    1281.3," ",    247.68
"31/07 09:09:00   ", 2," ",    1279.4," ",    247.68
"31/07 09:09:10   ", 2," ",    1288.3," ",    247.68
"31/07 09:09:20   ", 2," ",    1289.6," ",    247.60
"31/07 09:09:30   ", 2," ",    1287.7," ",    247.68
"31/07 09:09:40   ", 2," ",    1280.6," ",    247.60
"31/07 09:09:50   ", 2," ",    1288.3," ",    247.60
"31/07 09:10:00   ", 2," ",    1292.2," ",    247.68
"31/07 09:10:10   ", 2," ",    1292.8," ",    247.68
"31/07 09:10:20   ", 2," ",    1293.4," ",    247.68
"31/07 09:10:30   ", 2," ",    1294.1," ",    247.68
"31/07 09:10:40   ", 2," ",    1296.0," ",    247.60
"31/07 09:10:50   ", 2," ",    1296.0," ",    247.68
"31/07 09:11:00   ", 2," ",    1296.0," ",    247.60
"31/07 09:11:10   ", 2," ",    1299.2," ",    247.68
"31/07 09:11:20   ", 2," ",    1302.4," ",    247.68
"31/07 09:11:30   ", 2," ",    1302.4," ",    247.68
"31/07 09:11:40   ", 2," ",    1304.3," ",    248.88
"31/07 09:11:50   ", 2," ",    1305.6," ",    248.88
"31/07 09:12:00   ", 2," ",    1306.2," ",    248.88
"31/07 09:12:10   ", 2," ",    1305.0," ",    248.88
"31/07 09:12:20   ", 2," ",    1306.2," ",    248.88
"31/07 09:12:30   ", 2," ",    1305.6," ",    248.88
"31/07 09:12:40   ", 2," ",    1306.2," ",    248.88
"31/07 09:12:50   ", 2," ",    1308.2," ",    248.96
"31/07 09:13:00   ", 2," ",    1309.4," ",    248.88
"31/07 09:13:10   ", 2," ",    1311.4," ",    250.16
"31/07 09:13:20   ", 2," ",    1313.3," ",    250.16
"31/07 09:13:30   ", 2," ",    1314.6," ",    250.16
"31/07 09:13:40   ", 2," ",    1317.1," ",    250.16
"31/07 09:13:50   ", 2," ",    1318.4," ",    250.16
"31/07 09:14:00   ", 2," ",    1320.3," ",    250.08
"31/07 09:14:10   ", 2," ",    1320.3," ",    250.00
"31/07 09:14:20   ", 2," ",    1322.9," ",    251.28
"31/07 09:14:30   ", 2," ",    1322.9," ",    251.36
"31/07 09:14:40   ", 2," ",    1324.8," ",    251.28
"31/07 09:14:50   ", 2," ",    1324.8," ",    251.28
"31/07 09:15:00   ", 2," ",    1324.8," ",    251.36
"31/07 09:15:10   ", 2," ",    1328.0," ",    252.56
"31/07 09:15:20   ", 2," ",    1326.1," ",    252.64
"31/07 09:15:30   ", 2," ",    1328.0," ",    252.64
"31/07 09:15:40   ", 2," ",    1330.6," ",    253.84
"31/07 09:15:50   ", 2," ",    1332.5," ",    253.76
"31/07 09:16:00   ", 2," ",    1331.8," ",    255.04
"31/07 09:16:10   ", 2," ",    1331.8," ",    255.12
"31/07 09:16:20   ", 2," ",    1334.4," ",    256.24
"31/07 09:16:30   ", 2," ",    1333.8," ",    256.24
"31/07 09:16:40   ", 2," ",    1337.6," ",    257.36
"31/07 09:16:50   ", 2," ",    1338.2," ",    258.56
"31/07 09:17:00   ", 2," ",    1339.5," ",    260.40
"31/07 09:17:10   ", 2," ",    1340.8," ",    261.60
"31/07 09:17:20   ", 2," ",    1342.7," ",    262.80
"31/07 09:17:30   ", 2," ",    1341.4," ",    264.08
"31/07 09:17:40   ", 2," ",    1345.3," ",    265.20
"31/07 09:17:50   ", 2," ",    1345.3," ",    265.20
"31/07 09:18:00   ", 2," ",    1344.6," ",    266.40
"31/07 09:18:10   ", 2," ",    1347.2," ",    267.60
"31/07 09:18:20   ", 2," ",    1347.2," ",    268.88
"31/07 09:18:30   ", 2," ",    1351.0," ",    268.88
"31/07 09:18:40   ", 2," ",    1351.0," ",    268.88
"31/07 09:18:50   ", 2," ",    1353.6," ",    268.88
"31/07 09:19:00   ", 2," ",    1319.7," ",    267.68
"31/07 09:19:10   ", 2," ",    1280.0," ",    265.20
"31/07 09:19:20   ", 2," ",    1281.3," ",    264.00
"31/07 09:19:30   ", 2," ",    1270.4," ",    264.08
"31/07 09:19:40   ", 2," ",    1264.6," ",    262.88
"31/07 09:19:50   ", 2," ",    1241.6," ",    261.60
"31/07 09:20:00   ", 2," ",    1237.8," ",    261.68
"31/07 09:20:10   ", 2," ",    1262.1," ",    260.48
"31/07 09:20:20   ", 2," ",    1267.2," ",    260.56
"31/07 09:20:30   ", 2," ",    1264.0," ",    258.72
"31/07 09:20:40   ", 2," ",    1264.6," ",    258.64
"31/07 09:20:50   ", 2," ",    1271.7," ",    258.56
"31/07 09:21:00   ", 2," ",    1265.3," ",    257.44
"31/07 09:21:10   ", 2," ",    1259.5," ",    256.24
"31/07 09:21:20   ", 2," ",    1273.6," ",    256.16
"31/07 09:21:30   ", 2," ",    1246.1," ",    254.96
"31/07 09:21:40   ", 2," ",    1255.7," ",    256.24
"31/07 09:21:50   ", 2," ",    1245.4," ",    256.24
"31/07 09:22:00   ", 2," ",    1257.6," ",    257.36
"31/07 09:22:10   ", 2," ",    1268.5," ",    258.64
"31/07 09:22:20   ", 2," ",    1288.3," ",    258.64
"31/07 09:22:30   ", 2," ",    1300.5," ",    260.48
"31/07 09:22:40   ", 2," ",    1310.1," ",    261.60
"31/07 09:22:50   ", 2," ",    1338.9," ",    262.88
"31/07 09:23:00   ", 2," ",    1352.3," ",    262.80
"31/07 09:23:10   ", 2," ",    1369.0," ",    264.00
"31/07 09:23:20   ", 2," ",    1368.3," ",    264.08
"31/07 09:23:30   ", 2," ",    1372.2," ",    265.28
"31/07 09:23:40   ", 2," ",    1374.7," ",    265.28
"31/07 09:23:50   ", 2," ",    1375.4," ",    266.48
"31/07 09:24:00   ", 2," ",    1375.4," ",    267.68
"31/07 09:24:10   ", 2," ",    1376.0," ",    268.80
"31/07 09:24:20   ", 2," ",    1377.9," ",    268.88
"31/07 09:24:30   ", 2," ",    1380.5," ",    270.08
"31/07 09:24:40   ", 2," ",    1379.2," ",    271.28
"31/07 09:24:50   ", 2," ",    1381.8," ",    272.56
"31/07 09:25:00   ", 2," ",    1384.3," ",    274.24
"31/07 09:25:10   ", 2," ",    1385.0," ",    275.52
"31/07 09:25:20   ", 2," ",    1388.8," ",    276.64
"31/07 09:25:30   ", 2," ",    1387.5," ",    277.84
"31/07 09:25:40   ", 2," ",    1388.2," ",    279.04
"31/07 09:25:50   ", 2," ",    1391.4," ",    278.96
"31/07 09:26:00   ", 2," ",    1392.6," ",    280.24
"31/07 09:26:10   ", 2," ",    1388.8," ",    281.44
"31/07 09:26:20   ", 2," ",    1385.0," ",    281.36
"31/07 09:26:30   ", 2," ",    1370.2," ",    281.52
"31/07 09:26:40   ", 2," ",    1356.8," ",    282.56
"31/07 09:26:50   ", 2," ",    1358.7," ",    283.92
"31/07 09:27:00   ", 2," ",    1346.6," ",    283.84
"31/07 09:27:10   ", 2," ",    1302.4," ",    283.84
"31/07 09:27:20   ", 2," ",    1309.4," ",    285.04
"31/07 09:27:30   ", 2," ",    1337.0," ",    286.88
"31/07 09:27:40   ", 2," ",    1331.8," ",    288.08
"31/07 09:27:50   ", 2," ",    1351.0," ",    289.28
"31/07 09:28:00   ", 2," ",    1361.9," ",    290.56
"31/07 09:28:10   ", 2," ",    1364.5," ",    291.68
"31/07 09:28:20   ", 2," ",    1359.4," ",    292.96
"31/07 09:28:30   ", 2," ",    1354.9," ",    294.08
"31/07 09:28:40   ", 2," ",    1354.9," ",    295.36
"31/07 09:28:50   ", 2," ",    1351.7," ",    295.36
"31/07 09:29:00   ", 2," ",    1337.6," ",    295.28
"31/07 09:29:10   ", 2," ",    1349.8," ",    296.56
"31/07 09:29:20   ", 2," ",    1356.2," ",    297.68
"31/07 09:29:30   ", 2," ",    1357.4," ",    299.52
"31/07 09:29:40   ", 2," ",    1366.4," ",    300.72
"31/07 09:29:50   ", 2," ",    1367.7," ",    300.72
"31/07 09:30:00   ",22," ",    1371.5," ",    302.00," ",       0.0," ",     16.64," ",     47.67," ",     739.4," ",     75.25," ",     17.72," ",     47.41," ",     16.59," ",     54.48," ",    -4.824," ",    -4.248," ",    -0.805," ",    -0.602," ",     2.014," ",     168.7," ",    10.912," ",     1.489," ",    -0.754," ",    -0.039," ",     20.18
"31/07 09:30:10   ", 2," ",    1354.2," ",    302.00
"31/07 09:30:20   ", 2," ",    1349.1," ",    301.92
"31/07 09:30:30   ", 2," ",    1352.3," ",    303.12
"31/07 09:30:40   ", 2," ",    1354.2," ",    303.20
"31/07 09:30:50   ", 2," ",    1363.2," ",    304.32
"31/07 09:31:00   ", 2," ",    1361.3," ",    305.60
"31/07 09:31:10   ", 2," ",    1347.2," ",    305.60
"31/07 09:31:20   ", 2," ",    1354.9," ",    306.72
"31/07 09:31:30   ", 2," ",    1370.9," ",    307.92
"31/07 09:31:40   ", 2," ",    1379.8," ",    309.12
"31/07 09:31:50   ", 2," ",    1372.2," ",    310.40
"31/07 09:32:00   ", 2," ",    1376.6," ",    313.36
"31/07 09:32:10   ", 2," ",    1388.8," ",    314.64
"31/07 09:32:20   ", 2," ",    1393.3," ",    317.04
"31/07 09:32:30   ", 2," ",    1416.3," ",    319.60
"31/07 09:32:40   ", 2," ",    1433.6," ",    320.64
"31/07 09:32:50   ", 2," ",    1441.9," ",    322.00
"31/07 09:33:00   ", 2," ",    1443.8," ",    323.12
"31/07 09:33:10   ", 2," ",    1427.2," ",    325.04
"31/07 09:33:20   ", 2," ",    1419.5," ",    324.96
"31/07 09:33:30   ", 2," ",    1415.0," ",    326.24
"31/07 09:33:40   ", 2," ",    1397.8," ",    327.44
"31/07 09:33:50   ", 2," ",    1413.1," ",     328.3
"31/07 09:34:00   ", 2," ",    1402.9," ",     330.9
"31/07 09:34:10   ", 2," ",    1411.8," ",     334.1
"31/07 09:34:20   ", 2," ",    1425.3," ",     336.0
"31/07 09:34:30   ", 2," ",    1425.9," ",     338.6
"31/07 09:34:40   ", 2," ",    1413.1," ",     341.1
"31/07 09:34:50   ", 2," ",    1415.7," ",     343.7
"31/07 09:35:00   ", 2," ",    1420.8," ",     346.2
"31/07 09:35:10   ", 2," ",    1425.3," ",     347.5
"31/07 09:35:20   ", 2," ",    1431.0," ",     350.1
"31/07 09:35:30   ", 2," ",    1424.6," ",     352.6
"31/07 09:35:40   ", 2," ",    1420.8," ",     355.2
"31/07 09:35:50   ", 2," ",    1413.8," ",     355.8
"31/07 09:36:00   ", 2," ",    1409.9," ",     360.3
"31/07 09:36:10   ", 2," ",    1442.6," ",     362.9
"31/07 09:36:20   ", 2," ",    1456.0," ",     366.7
"31/07 09:36:30   ", 2," ",    1476.5," ",     368.6
"31/07 09:36:40   ", 2," ",    1466.9," ",     373.1
"31/07 09:36:50   ", 2," ",    1468.8," ",     375.0
"31/07 09:37:00   ", 2," ",    1455.4," ",     377.6
"31/07 09:37:10   ", 2," ",    1438.7," ",     381.4
"31/07 09:37:20   ", 2," ",    1445.8," ",     385.9
"31/07 09:37:30   ", 2," ",    1452.8," ",     387.8
"31/07 09:37:40   ", 2," ",    1449.0," ",     390.4
"31/07 09:37:50   ", 2," ",    1454.7," ",     394.2
"31/07 09:38:00   ", 2," ",    1461.1," ",     396.8
"31/07 09:38:10   ", 2," ",    1462.4," ",     399.4
"31/07 09:38:20   ", 2," ",    1481.0," ",     400.6
"31/07 09:38:30   ", 2," ",    1465.6," ",     400.6
"31/07 09:38:40   ", 2," ",    1461.1," ",     400.6
"31/07 09:38:50   ", 2," ",    1459.2," ",     400.6
"31/07 09:39:00   ", 2," ",    1471.4," ",     400.6
"31/07 09:39:10   ", 2," ",    1484.8," ",     400.6
"31/07 09:39:20   ", 2," ",    1491.2," ",     404.5
"31/07 09:39:30   ", 2," ",    1481.0," ",     407.7
"31/07 09:39:40   ", 2," ",    1470.7," ",     409.6
"31/07 09:39:50   ", 2," ",    1405.4," ",     409.6
"31/07 09:40:00   ", 2," ",    1454.1," ",     413.4
"31/07 09:40:10   ", 2," ",    1483.5," ",     417.3
