      Date     Time,     Area,   Length,    Width,    Perim,   Factor,    Ratio, Void
11/30/2015 07:42:53,61.19,12.63,8.16,43.23,1.55,0.41,11
11/30/2015 07:43:03 ,46.83,15.23,5.23,40.63,2.91,0.36,10
11/30/2015 07:43:11,47.8,11.7,7.2,39.28,1.62,0.39,11
11/30/2015 07:43:18,30.62,14.46,4.53,36.93,3.2,0.28,3
11/30/2015 07:43:29,18.94,7.8,3.97,20.6,1.97,0.56,3
11/30/2015 07:43:37,18.95,8.66,3.72,23.36,2.33,0.44,4
11/30/2015 07:44:03,163.75,24.3,9.28,87.37,2.62,0.27,16
11/30/2015 07:44:13,15.58,9.79,3.39,35.75,2.89,0.15,10
11/30/2015 07:44:37,36.97,13.33,5,34.84,2.67,0.38,6
11/30/2015 07:44:47,58.26,12.86,7.63,38.84,1.69,0.49,6
11/30/2015 07:44:50,0.01,0.09,0.09,0.29,1.01,0.73,0
11/30/2015 07:45:00,19.26,10.25,3.36,25.89,3.05,0.36,5
11/30/2015 07:45:12,31.59,12.43,5.31,41.23,2.34,0.23,16
11/30/2015 07:45:21,36.91,12.23,5.8,35.95,2.11,0.36,9
11/30/2015 07:45:29,23,11.69,3.77,35.16,3.1,0.23,9
11/30/2015 07:45:41,22.58,9.81,4.9,30.45,2,0.31,7
11/30/2015 07:45:51,33.22,10.27,5.77,34.04,1.78,0.36,10
11/30/2015 07:45:53,0.01,0.15,0.08,0.35,1.84,0.78,0
11/30/2015 07:45:56,0,0.04,0.04,0.13,0.92,0.85,0
11/30/2015 07:45:59,0.01,0.13,0.09,0.39,1.39,0.44,0
11/30/2015 07:46:11,28.7,12.02,4.93,42.86,2.44,0.2,7
11/30/2015 07:46:14,0.01,0.13,0.07,0.33,1.92,0.59,0
11/30/2015 07:46:18,65.52,15.18,7.27,39.9,2.09,0.52,4
11/30/2015 07:46:21,0.01,0.14,0.08,0.34,1.82,0.73,0
11/30/2015 07:46:24,52.62,14.56,7.1,48.14,2.05,0.29,8
11/30/2015 07:46:26,0.01,0.13,0.08,0.36,1.58,0.66,0
11/30/2015 07:46:29,54.2,14.24,7.09,48.17,2.01,0.29,8
11/30/2015 07:46:32,0.02,0.3,0.1,0.75,3.11,0.38,0
11/30/2015 07:46:35,56.8,18.07,7.23,55.9,2.5,0.23,11
11/30/2015 07:46:38,0.03,0.35,0.16,0.87,2.22,0.42,0
11/30/2015 07:46:41,25.69,10.23,4.97,29.96,2.06,0.36,8
11/30/2015 07:46:43,0.02,0.35,0.1,0.81,3.63,0.35,0
11/30/2015 07:46:46,64,13.09,8.73,43.59,1.5,0.42,10
11/30/2015 07:46:49,16.19,7.95,3.24,20.3,2.46,0.49,2
11/30/2015 07:46:54,21.22,13.47,2.95,30.63,4.57,0.28,0
11/30/2015 07:46:56,13.33,4.88,4.6,16.34,1.06,0.63,4
11/30/2015 07:47:00,14.44,9.21,3.33,24.4,2.77,0.3,5
11/30/2015 07:47:04,52.67,13.01,7.52,45.42,1.73,0.32,11
11/30/2015 07:47:08,43.04,14.43,5.87,43.8,2.46,0.28,10
11/30/2015 07:47:11,26.19,9.41,5.13,28.55,1.83,0.4,7
11/30/2015 07:47:14,0.03,0.4,0.14,0.99,2.78,0.44,0
11/30/2015 07:47:16,11.51,6.95,2.68,17.85,2.6,0.45,2
11/30/2015 07:47:19,0.06,0.51,0.47,1.83,1.09,0.24,0
11/30/2015 07:47:23,50.19,14.92,6.29,48.28,2.37,0.27,8
11/30/2015 07:47:28,88.09,18.6,10.15,68.82,1.83,0.23,13
11/30/2015 07:47:31,0.06,0.47,0.2,1.21,2.38,0.55,0
11/30/2015 07:47:34,53.02,16.01,6.53,57.37,2.45,0.2,15
11/30/2015 07:47:39,18.89,8.34,4.52,25.36,1.84,0.37,4
11/30/2015 07:47:42,60.25,14.59,6.78,48.92,2.15,0.32,10
11/30/2015 07:47:46,22.09,8.62,4.38,28.16,1.97,0.35,10
11/30/2015 07:47:49,0.06,0.59,0.23,1.63,2.58,0.3,0
11/30/2015 07:47:52,91.4,15.49,9.55,53.11,1.62,0.41,11
11/30/2015 07:47:55,14.29,11.17,3.45,29.74,3.24,0.2,5
11/30/2015 07:47:58,0.05,0.6,0.22,1.65,2.75,0.22,0
11/30/2015 07:48:01,38.49,17.39,3.39,58.37,5.12,0.14,16
11/30/2015 07:48:05,0.05,0.66,0.12,1.6,5.3,0.26,0
11/30/2015 07:48:10,22.34,11.94,4.15,31,2.88,0.29,2
11/30/2015 07:48:13,0.04,0.48,0.14,1.3,3.37,0.29,0
11/30/2015 07:48:16,97.6,26.86,9.36,81.52,2.87,0.18,23
11/30/2015 07:48:20,47.72,12.89,6.14,36.99,2.1,0.44,8
11/30/2015 07:48:24,67,15.32,8.21,51.76,1.87,0.31,8
11/30/2015 07:48:27,0.26,2.01,0.27,4.91,7.36,0.14,0
11/30/2015 07:48:30,57.95,15.91,6.76,48.98,2.35,0.3,10
11/30/2015 07:48:33,29.93,11.07,4.66,32.96,2.38,0.35,10
11/30/2015 07:48:36,0.22,1.59,0.24,3.7,6.53,0.2,1
11/30/2015 07:48:38,0.22,1.54,0.25,3.62,6.15,0.22,1
11/30/2015 07:48:41,0.23,1.54,0.26,3.55,5.99,0.23,1
11/30/2015 07:48:45,32.83,14.77,5.05,42.19,2.92,0.23,7
11/30/2015 07:48:49,58.55,20.97,4.78,80.86,4.38,0.11,10
11/30/2015 07:48:52,0.24,1.6,0.27,3.77,5.88,0.21,1
11/30/2015 07:48:54,16.15,10.23,3.29,29.07,3.11,0.24,8
11/30/2015 07:48:59,60,18.74,7.78,55.62,2.41,0.24,11
11/30/2015 07:49:03,35.35,15.57,4.5,39.77,3.46,0.28,5
11/30/2015 07:49:06,34.62,10.96,5.07,31.55,2.16,0.44,6
