      Date     Time,     Area,   Length,    Width,    Perim,   Factor,    Ratio Void,          Lat
12/08/2015 04:29,0.02,0.27,0.13,0.71,2.03,0.45,0
12/08/2015 04:29,17.68,13.08,4.04,31.78,3.24,0.22,2
12/08/2015 04:29,0.03,0.57,0.22,1.56,2.58,0.18,0
12/08/2015 04:29,47.31,11.78,7.24,33.95,1.63,0.52,3
12/08/2015 04:29,0.01,0.14,0.12,0.38,1.2,0.8,0
12/08/2015 04:29,0.01,0.09,0.14,0.38,0.67,0.63,0
12/08/2015 04:29,43.2,8.92,7.33,29.37,1.22,0.63,7
12/08/2015 04:29,0.01,0.13,0.14,0.45,0.93,0.47,0
12/08/2015 04:29,39.41,9,6.69,27.47,1.35,0.66,2
12/08/2015 04:30,0.05,0.34,0.38,1.46,0.88,0.27,1
12/08/2015 04:30,29.83,8.55,5.99,27.94,1.43,0.48,7
12/08/2015 04:30,0.03,0.25,0.36,1.08,0.69,0.34,0
12/08/2015 04:30,37.37,10.24,6.44,34.55,1.59,0.39,4
12/08/2015 04:30,0.01,0.09,0.18,0.53,0.49,0.37,1
12/08/2015 04:30,55.16,13.87,7.56,45.72,1.83,0.33,13
12/08/2015 04:30,0.01,0.11,0.06,0.29,1.64,0.8,0
12/08/2015 04:30,38.71,8.4,6.7,28.45,1.25,0.6,7
12/08/2015 04:31,31.64,9.24,6,28.98,1.54,0.47,8
12/08/2015 04:31,0.01,0.21,0.07,0.49,2.8,0.39,0
12/08/2015 04:31,39.01,9.83,6.61,30.4,1.49,0.53,4
12/08/2015 04:31,0.04,0.57,0.15,1.39,3.74,0.25,0
12/08/2015 04:31,0,0.06,0.07,0.21,0.89,0.65,0
