Name, Longitude, Latitude, M_plot
188,-0.8645400,51.1530955,0
189,-0.8644698,51.1530409,0
190,-0.8644140,51.1529864,0
191,-0.8643438,51.1529318,0
192,-0.8642737,51.1528771,0
193,-0.8642035,51.1528225,0
194,-0.8641334,51.1527679,0
195,-0.8640632,51.1527132,0
196,-0.8639931,51.1526586,0
197,-0.8639374,51.1525951,0
198,-0.8638673,51.1525405,0
199,-0.8637971,51.1524858,0
200,-0.8637270,51.1524312,0
201,-0.8636568,51.1523766,0
202,-0.8635867,51.1523219,0
203,-0.8635165,51.1522673,0
204,-0.8634607,51.1522128,0
205,-0.8633905,51.1521581,0
206,-0.8633204,51.1521035,0
207,-0.8632502,51.1520489,1
208,-0.8631636,51.1520840,0
209,-0.8630915,51.1521103,0
210,-0.8630048,51.1521454,0
211,-0.8629184,51.1521715,0
212,-0.8628317,51.1522067,0
213,-0.8627594,51.1522419,0
214,-0.8626729,51.1522681,0
215,-0.8625863,51.1523032,0
216,-0.8624998,51.1523293,0
217,-0.8624275,51.1523646,0
218,-0.8623411,51.1523907,0
219,-0.8622544,51.1524259,0
220,-0.8621820,51.1524611,0
221,-0.8620956,51.1524873,0
222,-0.8620090,51.1525224,0
223,-0.8619225,51.1525485,0
224,-0.8618502,51.1525838,0
225,-0.8617635,51.1526189,0
226,-0.8616771,51.1526451,0
227,-0.8616047,51.1526803,0
228,-0.8615183,51.1527065,0
229,-0.8614316,51.1527416,0
230,-0.8613452,51.1527677,0
231,-0.8612728,51.1528030,0
232,-0.8611862,51.1528381,0
233,-0.8610998,51.1528643,0
234,-0.8610131,51.1528994,0
235,-0.8609410,51.1529257,0
236,-0.8608543,51.1529608,1
237,-0.8607677,51.1529959,0
238,-0.8606953,51.1530312,0
239,-0.8606086,51.1530663,0
240,-0.8605220,51.1531014,0
241,-0.8604496,51.1531367,0
242,-0.8603630,51.1531718,0
243,-0.8602763,51.1532069,0
244,-0.8602039,51.1532422,0
245,-0.8601173,51.1532773,0
246,-0.8600449,51.1533126,0
247,-0.8599583,51.1533477,0
248,-0.8598716,51.1533828,0
