date,plot,lat,lon,above_par,below_par,fapar
2015-09-19 11:36:42,1,51.153514862060547,-0.85128921270370483,1247.30322265625,23.799999237060547,0.98091882467269897
2015-09-19 11:37:35,2,51.153495788574219,-0.85137540102005005,1255.3255615234375,42.099998474121094,0.96646291017532349
2015-09-19 11:37:54,3,51.153472900390625,-0.85146188735961914,1256.1278076171875,236.39999389648438,0.81180256605148315
2015-09-19 11:38:16,4,51.153453826904297,-0.85154807567596436,1255.3255615234375,100.59999847412109,0.91986143589019775
2015-09-19 11:38:45,5,51.153427124023438,-0.85163450241088867,1256.9300537109375,55.799999237060547,0.95560610294342041
2015-09-19 11:39:07,6,51.153411865234375,-0.85172069072723389,1257.7322998046875,50.200000762939453,0.9600868821144104
2015-09-19 11:39:39,7,51.153385162353516,-0.85180717706680298,1262.5457763671875,8.1999998092651367,0.99350517988204956
2015-09-19 11:40:00,8,51.153366088867188,-0.85189342498779297,1260.9412841796875,9.5,0.99246597290039062
2015-09-19 11:40:40,9,51.153343200683594,-0.85197979211807251,1248.10546875,37.400001525878906,0.97003459930419922
2015-09-19 11:41:07,10,51.153324127197266,-0.85206598043441772,1256.1278076171875,44.799999237060547,0.96433484554290771
2015-09-19 11:42:07,11,51.153297424316406,-0.85215252637863159,1268.963623046875,14.300000190734863,0.98873096704483032
2015-09-19 11:43:00,12,51.153282165527344,-0.85223871469497681,1288.2174072265625,140.10000610351562,0.89124506711959839
2015-09-19 11:43:17,13,51.153263092041016,-0.85232490301132202,1292.2286376953125,31.200000762939453,0.97585564851760864
2015-09-19 11:45:28,14,51.153236389160156,-0.85241138935089111,1289.8218994140625,19.899999618530273,0.98457151651382446
2015-09-19 11:45:58,15,51.153221130371094,-0.85249757766723633,1283.404052734375,15.399999618530273,0.98800069093704224
2015-09-19 11:46:18,16,51.153194427490234,-0.85258400440216064,1276.986083984375,28.0,0.9780733585357666
2015-09-19 11:46:58,17,51.153179168701172,-0.85267019271850586,1279.392822265625,18.600000381469727,0.98546183109283447
2015-09-19 11:47:47,18,51.153152465820312,-0.85275667905807495,1295.4376220703125,6.3000001907348633,0.9951367974281311
2015-09-19 11:48:41,19,51.153133392333984,-0.85284292697906494,1308.2734375,47.900001525878906,0.96338683366775513
2015-09-19 11:49:49,20,51.153106689453125,-0.85292929410934448,1340.363037109375,55.0,0.95896631479263306
2015-09-19 11:50:40,21,51.153091430664062,-0.8530154824256897,1195.1575927734375,25.100000381469727,0.97899860143661499
2015-09-19 11:50:55,22,51.153064727783203,-0.85310202836990356,1325.9227294921875,62.099998474121094,0.95316469669342041
2015-09-19 11:51:41,23,51.153049468994141,-0.85318821668624878,1346.781005859375,42.400001525878906,0.96851754188537598
2015-09-19 11:52:20,24,51.152996063232422,-0.85326099395751953,1379.6728515625,32.700000762939453,0.9762987494468689
2015-09-19 11:52:57,25,51.152942657470703,-0.85333377122879028,988.98193359375,123.0,0.87562966346740723
2015-09-19 11:54:07,26,51.152889251708984,-0.85339230298995972,1361.2213134765625,7.1999998092651367,0.99471062421798706
2015-09-19 11:54:26,27,51.152835845947266,-0.85346508026123047,616.7425537109375,68.800003051757812,0.8884461522102356
2015-09-19 11:55:26,28,51.152782440185547,-0.85353797674179077,1240.0830078125,22.899999618530273,0.9815334677696228
2015-09-19 11:55:45,29,51.152729034423828,-0.8536108136177063,1413.3668212890625,64.400001525878906,0.95443505048751831
2015-09-19 11:56:15,30,51.152675628662109,-0.85368359088897705,433.83184814453125,92.900001525878906,0.78586173057556152
2015-09-19 11:56:43,31,51.152622222900391,-0.85374212265014648,1102.0977783203125,21.700000762939453,0.98031026124954224
2015-09-19 11:57:19,32,51.152568817138672,-0.85381489992141724,953.683349609375,11.199999809265137,0.98825603723526001
2015-09-19 11:58:26,33,51.152515411376953,-0.85388767719268799,246.30824279785156,8.8000001907348633,0.96427237987518311
2015-09-19 11:59:18,34,51.152469635009766,-0.85396027565002441,1365.232421875,9.5,0.99304145574569702
2015-09-19 11:59:46,35,51.152416229248047,-0.85403311252593994,1353.1988525390625,70.099998474121094,0.94819682836532593
2015-09-19 12:00:23,36,51.152362823486328,-0.8540915846824646,465.92144775390625,18.200000762939453,0.96093761920928955
2015-09-19 12:00:50,37,51.152309417724609,-0.85416442155838013,722.63824462890625,28.700000762939453,0.96028441190719604
2015-09-19 12:01:18,38,51.152256011962891,-0.85423719882965088,437.04080200195312,89.400001525878906,0.79544246196746826
2015-09-19 12:01:52,39,51.152202606201172,-0.85431009531021118,469.93264770507812,8.3000001907348633,0.98233789205551147
2015-09-19 12:02:14,40,51.152153015136719,-0.85438287258148193,946.46319580078125,14.800000190734863,0.98436284065246582
2015-09-19 12:03:28,41,51.152099609375,-0.85444140434265137,1012.2468872070312,4.6999998092651367,0.99535685777664185
2015-09-19 12:03:57,42,51.152046203613281,-0.85451418161392212,1313.0869140625,5.4000000953674316,0.99588757753372192
2015-09-19 12:04:52,43,51.151992797851562,-0.85458701848983765,1314.69140625,6.8000001907348633,0.99482768774032593
2015-09-19 12:05:55,44,51.152011871337891,-0.85467231273651123,1301.85546875,30.899999618530273,0.97626465559005737
2015-09-19 12:06:27,45,51.152019500732422,-0.85475790500640869,1303.4599609375,18.100000381469727,0.98611390590667725
2015-09-19 12:07:02,46,51.15203857421875,-0.85484319925308228,1309.8779296875,39.599998474121094,0.96976816654205322
2015-09-19 12:07:43,47,51.152057647705078,-0.85492849349975586,1301.85546875,7.0999999046325684,0.99454623460769653
