date,par
2015-08-07 09:19:10,53.870918273925781
2015-08-07 09:19:15,53.770641326904297
2015-08-07 09:19:20,54.87371826171875
2015-08-07 09:19:25,56.077079772949219
2015-08-07 09:19:30,52.868118286132812
2015-08-07 09:19:35,53.670360565185547
2015-08-07 09:19:40,53.168960571289062
2015-08-07 09:19:45,51.163360595703125
2015-08-07 09:19:50,45.146560668945312
2015-08-07 09:19:55,60.088279724121094
2015-08-07 09:20:00,55.174560546875
2015-08-07 09:20:05,57.480998992919922
2015-08-07 09:20:10,57.581279754638672
2015-08-07 09:20:15,53.570079803466797
2015-08-07 09:20:20,57.480998992919922
2015-08-07 09:20:25,57.581279754638672
2015-08-07 09:20:30,55.876518249511719
2015-08-07 09:20:35,56.177360534667969
2015-08-07 09:20:40,56.879318237304688
2015-08-07 09:20:45,60.990798950195312
2015-08-07 09:20:50,54.773441314697266
2015-08-07 09:20:55,59.687160491943359
2015-08-07 09:21:00,59.085479736328125
2015-08-07 09:21:05,59.185760498046875
2015-08-07 09:21:10,58.985198974609375
2015-08-07 09:21:15,59.887718200683594
2015-08-07 09:21:20,59.987998962402344
2015-08-07 09:21:25,60.188560485839844
2015-08-07 09:21:30,59.787441253662109
2015-08-07 09:21:35,53.068679809570312
2015-08-07 09:21:40,60.188560485839844
2015-08-07 09:21:45,59.987998962402344
2015-08-07 09:21:50,59.787441253662109
2015-08-07 09:21:55,64.801437377929688
2015-08-07 09:22:00,63.598079681396484
2015-08-07 09:22:05,65.503402709960938
2015-08-07 09:22:10,65.503402709960938
2015-08-07 09:22:15,13.357799530029297
2015-08-07 09:22:20,65.804237365722656
2015-08-07 09:22:25,65.804237365722656
2015-08-07 09:22:30,65.703956604003906
2015-08-07 09:22:35,65.703956604003906
2015-08-07 09:22:40,53.369518280029297
2015-08-07 09:22:45,56.377918243408203
2015-08-07 09:22:50,49.358318328857422
2015-08-07 09:22:55,62.194160461425781
2015-08-07 09:23:00,63.698360443115234
2015-08-07 09:23:05,63.698360443115234
2015-08-07 09:23:10,63.798641204833984
2015-08-07 09:23:15,48.355518341064453
2015-08-07 09:23:20,63.898918151855469
2015-08-07 09:23:25,47.0518798828125
2015-08-07 09:23:30,11.151639938354492
2015-08-07 09:23:35,0.52196002006530762
2015-08-07 09:23:40,0.52196002006530762
2015-08-07 09:23:45,22.583560943603516
2015-08-07 09:23:50,37.926399230957031
2015-08-07 09:23:55,1.2239199876785278
2015-08-07 09:24:00,1.6250400543212891
2015-08-07 09:24:05,2.1264400482177734
2015-08-07 09:24:10,1.8256000280380249
2015-08-07 09:24:15,2.0261600017547607
2015-08-07 09:24:20,2.0261600017547607
2015-08-07 09:24:25,1.7253199815750122
2015-08-07 09:24:30,1.7253199815750122
2015-08-07 09:24:35,2.1264400482177734
2015-08-07 09:24:40,2.2267200946807861
2015-08-07 09:24:45,2.2267200946807861
2015-08-07 09:24:50,2.3269999027252197
2015-08-07 09:24:55,2.1264400482177734
2015-08-07 09:25:00,2.5275599956512451
2015-08-07 09:25:05,2.5275599956512451
2015-08-07 09:25:10,2.5275599956512451
2015-08-07 09:25:15,2.6278400421142578
2015-08-07 09:25:20,2.5275599956512451
2015-08-07 09:25:25,2.5275599956512451
2015-08-07 09:25:30,2.6278400421142578
2015-08-07 09:25:35,2.5275599956512451
2015-08-07 09:25:40,2.5275599956512451
2015-08-07 09:25:45,2.5275599956512451
2015-08-07 09:25:50,2.4272799491882324
2015-08-07 09:25:55,2.0261600017547607
2015-08-07 09:26:00,2.1264400482177734
2015-08-07 09:26:05,1.3242000341415405
2015-08-07 09:26:10,1.3242000341415405
2015-08-07 09:26:15,1.8256000280380249
2015-08-07 09:26:20,4.6334400177001953
2015-08-07 09:26:25,3.9314799308776855
2015-08-07 09:26:30,4.0317602157592773
2015-08-07 09:26:35,4.2323198318481445
2015-08-07 09:26:40,4.3326001167297363
2015-08-07 09:26:45,5.1348400115966797
2015-08-07 09:26:50,4.4328799247741699
2015-08-07 09:26:55,4.6334400177001953
2015-08-07 09:27:00,4.8340001106262207
2015-08-07 09:27:05,5.0345602035522461
2015-08-07 09:27:10,5.1348400115966797
2015-08-07 09:27:15,5.4356799125671387
2015-08-07 09:27:20,5.6362400054931641
2015-08-07 09:27:25,5.8368000984191895
2015-08-07 09:27:30,6.1376399993896484
2015-08-07 09:27:35,6.9398798942565918
2015-08-07 09:27:40,6.6390399932861328
2015-08-07 09:27:45,6.9398798942565918
2015-08-07 09:27:50,7.1404399871826172
2015-08-07 09:27:55,7.3410000801086426
2015-08-07 09:28:00,7.541560173034668
2015-08-07 09:28:05,8.0429601669311523
2015-08-07 09:28:10,8.3437995910644531
2015-08-07 09:28:15,9.0457601547241211
2015-08-07 09:28:20,9.4468803405761719
2015-08-07 09:28:25,9.9482803344726562
2015-08-07 09:28:30,10.349399566650391
2015-08-07 09:28:35,10.951080322265625
2015-08-07 09:28:40,11.251919746398926
2015-08-07 09:28:45,11.352199554443359
2015-08-07 09:28:50,12.054160118103027
2015-08-07 09:28:55,12.655839920043945
2015-08-07 09:29:00,13.257519721984863
2015-08-07 09:29:05,2.1264400482177734
2015-08-07 09:29:10,39.430599212646484
2015-08-07 09:29:15,8.5443601608276367
2015-08-07 09:29:20,3.7309200763702393
2015-08-07 09:29:25,1.4244799613952637
2015-08-07 09:29:30,1.4244799613952637
2015-08-07 09:29:35,0.72251999378204346
2015-08-07 09:29:40,5.6362400054931641
2015-08-07 09:29:45,2.5275599956512451
2015-08-07 09:29:50,0.92308002710342407
2015-08-07 09:29:55,6.0373601913452148
