"DELTA-T LOGGER"
"EP_PAR  "
"08/08 08:14:57"
"08/08 14:48:13"
"TIMED"
"08/08 08:24:30   ", 1," ",    -0.001
"08/08 08:24:35   ", 1," ",    -0.001
"08/08 08:24:40   ", 1," ",    -0.001
"08/08 08:24:45   ", 1," ",    -0.003
"08/08 08:24:50   ", 1," ",    -0.002
"08/08 08:24:55   ", 1," ",     0.000
"08/08 08:25:00   ", 1," ",     0.001
"08/08 08:25:05   ", 1," ",    -0.002
"08/08 08:25:10   ", 1," ",     0.001
"08/08 08:25:15   ", 1," ",     0.000
"08/08 08:25:20   ", 1," ",     0.000
"08/08 08:25:25   ", 1," ",     0.000
"08/08 08:25:30   ", 1," ",     0.000
"08/08 08:25:35   ", 1," ",     0.000
"08/08 08:25:40   ", 1," ",     0.001
"08/08 08:25:45   ", 1," ",     0.001
"08/08 08:25:50   ", 1," ",     0.001
"08/08 08:25:55   ", 1," ",     0.000
"08/08 08:26:00   ", 1," ",    -0.002
"08/08 08:26:05   ", 1," ",     0.000
"08/08 08:26:10   ", 1," ",     0.000
"08/08 08:26:15   ", 1," ",     0.001
"08/08 08:26:20   ", 1," ",    -0.001
"08/08 08:26:25   ", 1," ",     0.001
"08/08 08:26:30   ", 1," ",     0.000
"08/08 08:26:35   ", 1," ",     0.000
"08/08 08:26:40   ", 1," ",     0.000
"08/08 08:26:45   ", 1," ",    -0.001
"08/08 08:26:50   ", 1," ",     0.001
"08/08 08:26:55   ", 1," ",     0.001
"08/08 08:27:00   ", 1," ",     0.002
"08/08 08:27:05   ", 1," ",     0.000
"08/08 08:27:10   ", 1," ",     0.000
"08/08 08:27:15   ", 1," ",    -0.002
"08/08 08:27:20   ", 1," ",    -0.001
"08/08 08:27:25   ", 1," ",    -0.004
"08/08 08:27:30   ", 1," ",     0.000
"08/08 08:27:35   ", 1," ",     0.001
"08/08 08:27:40   ", 1," ",    -0.001
"08/08 08:27:45   ", 1," ",     0.001
"08/08 08:27:50   ", 1," ",    -0.001
"08/08 08:27:55   ", 1," ",     0.001
"08/08 08:28:00   ", 1," ",     0.000
"08/08 08:28:05   ", 1," ",    -0.004
"08/08 08:28:10   ", 1," ",     0.001
"08/08 08:28:15   ", 1," ",     0.000
"08/08 08:28:20   ", 1," ",     0.002
"08/08 08:28:25   ", 1," ",    -0.001
"08/08 08:28:30   ", 1," ",     0.001
"08/08 08:28:35   ", 1," ",     0.000
"08/08 08:28:40   ", 1," ",    -0.001
"08/08 08:28:45   ", 1," ",    -0.002
"08/08 08:28:50   ", 1," ",     0.001
"08/08 08:28:55   ", 1," ",    -0.001
"08/08 08:29:00   ", 1," ",     0.000
"08/08 08:29:05   ", 1," ",    -0.004
"08/08 08:29:10   ", 1," ",     0.002
"08/08 08:29:15   ", 1," ",     0.001
"08/08 08:29:20   ", 1," ",     0.000
"08/08 08:29:25   ", 1," ",    -0.001
"08/08 08:29:30   ", 1," ",    -0.001
"08/08 08:29:35   ", 1," ",    -0.001
"08/08 08:29:40   ", 1," ",    -0.001
"08/08 08:29:45   ", 1," ",    -0.001
"08/08 08:29:50   ", 1," ",     0.000
"08/08 08:29:55   ", 1," ",     0.001
"08/08 08:30:00   ", 1," ",     0.001
"08/08 08:30:05   ", 1," ",    -0.002
"08/08 08:30:10   ", 1," ",    -0.002
"08/08 08:30:15   ", 1," ",    -0.002
"08/08 08:30:20   ", 1," ",    -0.001
"08/08 08:30:25   ", 1," ",    -0.001
"08/08 08:30:30   ", 1," ",     0.000
"08/08 08:30:35   ", 1," ",     0.002
"08/08 08:30:40   ", 1," ",     0.001
"08/08 08:30:45   ", 1," ",     0.001
"08/08 08:30:50   ", 1," ",     0.001
"08/08 08:30:55   ", 1," ",     0.003
"08/08 08:31:00   ", 1," ",     0.000
"08/08 08:31:05   ", 1," ",     0.000
"08/08 08:31:10   ", 1," ",     0.000
"08/08 08:31:15   ", 1," ",     0.000
"08/08 08:31:20   ", 1," ",    -0.001
